data;

param order := 5;
param n := 25;
param givens :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
                1  . 9 . . . 12 10 22 . 3 . . 18 13 . . 8 . 6 5 19 14 . . . 
                2  18 . 16 21 . . . . . . 20 8 4 5 22 24 . . . 11 17 . . . 12 
                3  . . . . . 16 20 . 21 23 1 3 . . 14 12 10 19 . 9 . . . . 8 
                4  . 23 . . . . . 5 14 . . . 2 . 10 . . . 20 . . . 22 3 . 
                5  12 . 25 . . 4 . 9 . . 19 23 24 . . . . 13 . 16 . 10 1 20 7 
                6  . 5 . . 19 . . . 15 . . . . 24 . 8 12 11 . . . . 3 21 . 
                7  17 . . . 8 . . 25 10 11 . . . . . 16 . . 15 . 20 . . 5 . 
                8  6 18 . 15 . . . 12 . . . . 19 14 16 . . 22 17 25 13 . . 10 . 
                9  25 20 . . 12 19 6 3 13 . 11 9 8 . 15 10 . . 7 18 16 . 14 17 . 
                10 . 4 . . . . . . . 2 . . . 20 . . . 21 . . 7 1 . 15 25 
                11 13 . . . 21 5 . 8 . 12 . . 25 . . . 15 7 16 . 11 . . . . 
                12 . . . . . 21 . 15 . 10 . 14 . . 2 25 . . . . 24 . . . . 
                13 . . 7 12 . 17 . 6 . . . . 1 11 . . . . . 21 . . 8 23 . 
                14 8 . 17 . 23 . 11 7 . 4 . 24 16 . . 1 . . . . 15 . . 12 . 
                15 . 19 . 11 15 . 23 . 25 22 . 18 . . 5 . . 12 . 17 . . . . 13 
                16 21 . 23 13 1 . . . . . . 19 . . 4 . 7 . 11 20 . . . . 24 
                17 . . . 22 . . 9 21 . . . 13 . . 24 6 . . 23 . . . . 19 11 
                18 19 . 18 16 11 2 . . . . 7 . . 22 23 . 3 17 24 12 8 . 10 . 5 
                19 . 6 . . . . 25 . . . 2 21 17 . . 22 . . . . . . . . 18 
                20 14 . 24 . . . 5 11 12 8 15 . . . 3 . 18 . . 2 23 . . . . 
                21 . . 9 4 . . 15 . . . 18 2 . . . 5 . . 12 24 3 . . . 17 
                22 10 . 21 . . . . . . . 23 11 3 12 8 . . 16 . 22 4 . . . 15 
                23 . 22 8 17 . 3 . 4 5 . . . . 7 . . . . . 14 . 18 . . . 
                24 . . . . 25 11 . . . . 4 . 21 . 20 . 6 18 10 . 22 7 . 16 . 
                25 15 11 . 14 18 . 1 23 16 . 9 5 . . . . 4 8 . . 21 12 . . . 
;
end;
