i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,3_80,10051,5,0,0.240000
2,3_80,10290,5,0,0.160000
3,3_80,10704,5,0,0.060000
4,3_80,11499,5,0,0.060000
5,3_80,11888,5,0,0.180000
6,3_80,11937,5,0,0.120000
7,3_80,12030,5,0,0.070000
8,3_80,12148,5,0,0.050000
9,3_80,13012,5,0,0.200000
10,3_80,13088,5,0,0.140000
11,3_80,13093,5,0,0.110000
12,3_80,13598,5,0,0.070000
13,3_80,13680,5,0,0.140000
14,3_80,13805,5,0,0.150000
15,3_80,1431,5,0,0.050000
16,3_80,14590,5,0,0.060000
17,3_80,14701,5,0,0.120000
18,3_80,14735,5,0,0.180000
19,3_80,14829,5,0,0.070000
20,3_80,15011,5,0,0.090000
21,3_80,15299,5,0,0.050000
22,3_80,15355,5,0,0.090000
23,3_80,15511,5,0,0.140000
24,3_80,15883,5,0,0.120000
25,3_80,15891,5,0,0.060000
26,3_80,16120,5,0,0.160000
27,3_80,16702,5,0,0.100000
28,3_80,16859,5,0,0.080000
29,3_80,17665,5,0,0.090000
30,3_80,17699,5,0,0.250000
31,3_80,17839,5,0,0.170000
32,3_80,18109,5,0,0.070000
33,3_80,18448,5,0,0.070000
34,3_80,1885,5,0,0.050000
35,3_80,19205,5,0,0.050000
36,3_80,19260,5,0,0.080000
37,3_80,19428,5,0,0.060000
38,3_80,19473,5,0,0.080000
39,3_80,19519,5,0,0.170000
40,3_80,19883,5,0,0.140000
41,3_80,20369,5,0,0.060000
42,3_80,20645,5,0,0.120000
43,3_80,21023,5,0,0.220000
44,3_80,21099,5,0,0.080000
45,3_80,21321,5,0,0.190000
46,3_80,21427,5,0,0.120000
47,3_80,21946,5,0,0.130000
48,3_80,22071,5,0,0.070000
49,3_80,22125,5,0,0.160000
50,3_80,22872,5,0,0.080000
51,3_80,23681,5,0,0.050000
52,3_80,24144,5,0,0.160000
53,3_80,24270,5,0,0.170000
54,3_80,24388,5,0,0.090000
55,3_80,24770,5,0,0.110000
56,3_80,25999,5,0,0.090000
57,3_80,26291,5,0,0.060000
58,3_80,26422,5,0,0.140000
59,3_80,27023,5,0,0.060000
60,3_80,27313,5,0,0.170000
61,3_80,27365,5,0,0.240000
62,3_80,27685,5,0,0.100000
63,3_80,2836,5,0,0.060000
64,3_80,28373,5,0,0.090000
65,3_80,28848,5,0,0.080000
66,3_80,29103,5,0,0.050000
67,3_80,29163,5,0,0.050000
68,3_80,29319,5,0,0.300000
69,3_80,2948,5,0,0.140000
70,3_80,29712,5,0,0.050000
71,3_80,29735,5,0,0.110000
72,3_80,29949,5,0,0.080000
73,3_80,30094,5,0,0.090000
74,3_80,30430,5,0,0.060000
75,3_80,30464,5,0,0.110000
76,3_80,305,5,0,0.160000
77,3_80,30882,5,0,0.120000
78,3_80,31055,5,0,0.120000
79,3_80,31323,5,0,0.070000
80,3_80,31462,5,0,0.140000
81,3_80,31725,5,0,0.200000
82,3_80,31836,5,0,0.130000
83,3_80,31993,5,0,0.100000
84,3_80,32093,5,0,0.200000
85,3_80,32159,5,0,0.130000
86,3_80,32424,5,0,0.120000
87,3_80,3324,5,0,0.080000
88,3_80,3487,5,0,0.100000
89,3_80,4616,5,0,0.120000
90,3_80,4896,5,0,0.090000
91,3_80,5072,5,0,0.080000
92,3_80,516,5,0,0.340000
93,3_80,534,5,0,0.210000
94,3_80,6248,5,0,0.100000
95,3_80,7025,5,0,0.200000
96,3_80,7405,5,0,0.050000
97,3_80,752,5,0,0.140000
98,3_80,8345,5,0,0.080000
99,3_80,8460,5,0,0.090000
100,3_80,890,5,0,0.300000
